Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_Seeking_Persons,Marginal_Seeking_Males,Marginal_Seeking_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females,District_Code,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females
31,0,1,271491,140467,131024,10424,5459,4965,2285,1137,1148,253440,131516,121924,3370,1832,1538,21,7627,3492,4135
31,0,2,238288,124648,113640,54006,32446,21560,14929,8357,6572,156389,78427,77962,24863,14419,10444,21,27893,13775,14118
31,0,3,254861,130064,124797,116985,76986,39999,24342,14150,10192,94343,31835,62508,25046,13094,11952,21,43533,21243,22290
31,0,4,231322,121652,109670,132133,92459,39674,21118,12726,8392,59769,9589,50180,11941,4500,7441,21,39420,19604,19816
31,0,5,193960,100874,93086,118836,81913,36923,15848,8965,6883,42691,3990,38701,5618,1424,4194,21,32433,14971,17462
31,0,6,179578,92693,86885,112866,76271,36595,14182,7816,6366,36494,2861,33633,3862,803,3059,21,30218,13561,16657
31,0,7,282926,144722,138204,175717,118085,57632,19626,11026,8600,59469,5311,54158,4551,1111,3440,21,47740,21326,26414
31,0,8,181508,91664,89844,102101,69993,32108,9381,5305,4076,49681,8112,41569,2267,709,1558,21,29726,13559,16167
31,0,9,115358,52973,62385,43507,29028,14479,3940,2226,1714,55070,15873,39197,1591,559,1032,21,16781,8072,8709
31,0,10,45158,20001,25157,10295,7312,2983,779,468,311,30356,10275,20081,415,144,271,21,4507,2414,2093
31,0,11,15365,6777,8588,2796,1897,899,251,145,106,11485,4273,7212,115,51,64,21,1084,607,477
31,1,0,709112,374014,335098,9018,5377,3641,1514,821,693,691348,364022,327326,4367,2364,2003,21,8746,4615,4131
31,1,1,723390,383039,340351,19075,13156,5919,2264,1307,957,693271,363882,329389,7755,4586,3169,21,11044,6001,5043
31,1,2,738944,406136,332808,111286,89493,21793,8214,5440,2774,604063,301745,302318,48756,30029,18727,21,23595,14898,8697
31,1,3,892659,481922,410737,357993,283407,74586,15698,10567,5131,491118,170655,320463,74460,40456,34004,21,43548,27860,15688
31,1,4,925644,492463,433181,512317,407651,104666,12261,8069,4192,370733,58262,312471,42460,17107,25353,21,42594,26550,16044
31,1,5,797667,432716,364951,472944,384743,88201,8028,5133,2895,290466,27269,263197,18946,5897,13049,21,34257,20704,13553
31,1,6,714877,386341,328536,431341,349116,82225,6445,4138,2307,253646,19692,233954,12419,3353,9066,21,29890,17533,12357
31,1,7,1072880,581857,491023,640165,523439,116726,7613,5184,2429,391157,33414,357743,12630,4300,8330,21,41558,25004,16554
31,1,8,668915,366935,301980,350530,293366,57164,3237,2228,1009,294507,58793,235714,6431,3282,3149,21,23878,14776,9102
31,1,9,356374,188143,168231,90985,75271,15714,1389,910,479,254295,106109,148186,3569,1941,1628,21,11094,6763,4331
31,1,10,137184,68222,68962,20554,16508,4046,418,252,166,113013,49504,63509,998,492,506,21,3617,2210,1407
31,1,11,60059,27808,32251,12275,9725,2550,255,149,106,46018,17083,28935,509,246,263,21,1766,1000,766
17,1,0,701121,368863,332258,7240,4195,3045,1233,652,581,687222,361173,326049,4263,2293,1970,22,6659,3495,3164
17,1,1,767735,406821,360914,17777,12246,5531,2032,1192,840,740733,389597,351136,7908,4550,3358,22,9225,4978,4247
17,1,2,834831,462660,372171,122512,96783,25729,8426,5668,2758,690497,351855,338642,60248,37159,23089,22,21822,14022,7800
17,1,3,999427,563925,435502,435644,342106,93538,16028,11050,4978,524750,196050,328700,87868,49281,38587,22,39033,25769,13264
17,1,4,985170,541602,443568,587153,460579,126574,11547,7858,3689,365327,60401,304926,46526,19449,27077,22,32690,20622,12068
17,1,5,837047,455539,381508,519143,414516,104627,6825,4713,2112,293929,26667,267262,20715,6965,13750,22,23975,14356,9619
17,1,6,764467,408670,355797,473896,377709,96187,5472,3635,1837,269463,18989,250474,14711,4304,10407,22,21108,11972,9136
17,1,7,1210487,645903,564584,738338,595463,142875,6778,4673,2105,441466,32964,408502,15691,5240,10451,22,30683,17476,13207
17,1,8,807948,434656,373292,433945,359380,74565,2972,2122,850,355602,64367,291235,7300,3626,3674,22,18401,10909,7492
17,1,9,477255,244753,232502,125702,104798,20904,1202,783,419,342053,134227,207826,4872,2577,2295,22,9500,5728,3772
17,1,10,208133,103472,104661,29092,23700,5392,309,197,112,175779,77845,97934,1120,587,533,22,3262,1927,1335
17,1,11,82230,37913,44317,12721,10019,2702,211,124,87,68048,27091,40957,519,228,291,22,1461,803,658
16,1,0,208264,108793,99471,2635,1558,1077,439,225,214,203544,106164,97380,1535,818,717,23,2085,1071,1014
16,1,1,230713,122365,108348,6635,4813,1822,712,396,316,221163,115989,105174,2778,1622,1156,23,2915,1563,1352
16,1,2,265548,150557,114991,45124,37878,7246,2698,1807,891,213727,108318,105409,20293,12487,7806,23,6697,4361,2336
16,1,3,334119,198073,136046,151970,123336,28634,5485,3642,1843,169331,66323,103008,32983,18492,14491,23,12818,8414,4404
16,1,4,325168,186723,138445,195941,156636,39305,4172,2792,1380,118070,22984,95086,18557,8089,10468,23,11157,7103,4054
16,1,5,272932,153652,119280,170064,137533,32531,2593,1761,832,94484,10915,83569,8889,3258,5631,23,8384,5204,3180
16,1,6,250947,138227,112720,156427,126073,30354,1966,1273,693,87400,8014,79386,6228,2050,4178,23,7120,4140,2980
16,1,7,409707,221104,188603,250072,200750,49322,2342,1539,803,148734,14140,134594,6689,2516,4173,23,10901,6214,4687
16,1,8,284542,153587,130955,154532,125403,29129,965,636,329,123364,24335,99029,3312,1577,1735,23,6646,3849,2797
16,1,9,174053,86922,87131,49048,39940,9108,434,257,177,121403,44914,76489,1991,997,994,23,3602,2068,1534
16,1,10,85549,39715,45834,14062,11238,2824,119,62,57,69989,27677,42312,533,247,286,23,1498,800,698
16,1,11,39099,17246,21853,6191,4920,1271,90,54,36,32217,11952,20265,263,116,147,23,691,374,317
25,0,0,140119,72036,68083,1893,990,903,195,104,91,137053,70431,66622,771,397,374,24,1173,615,558
25,0,1,159424,81946,77478,3869,2229,1640,797,433,364,152780,78307,74473,1906,1021,885,24,2775,1410,1365
25,0,2,155325,80635,74690,20840,13905,6935,6741,4092,2649,122250,60102,62148,18830,11033,7797,24,12235,6628,5607
25,0,3,155038,78999,76039,56116,40570,15546,12757,8277,4480,76440,26035,50405,20632,11129,9503,24,22482,12394,10088
25,0,4,143521,73751,69770,71839,53514,18325,11692,7631,4061,49219,8186,41033,9585,3920,5665,24,22463,12051,10412
25,0,5,125468,63407,62061,69151,50029,19122,9414,5745,3669,36117,3584,32533,4493,1330,3163,24,20200,9794,10406
25,0,6,121621,60767,60854,69452,48860,20592,8532,5051,3481,32266,2545,29721,3131,749,2382,24,19903,9362,10541
25,0,7,199596,100011,99585,115344,80335,35009,11768,7234,4534,51956,4504,47452,3315,934,2381,24,32296,15172,17124
25,0,8,141878,70494,71384,74906,52436,22470,5737,3528,2209,45153,7301,37852,1801,600,1201,24,21819,10757,11062
25,0,9,107656,49122,58534,38468,26142,12326,2554,1591,963,55590,15990,39600,1411,554,857,24,13598,6990,6608
25,0,10,54635,24944,29691,12317,9017,3300,651,428,223,37672,13186,24486,436,164,272,24,4646,2741,1905
25,0,11,19798,9017,10781,3088,2247,841,188,115,73,15622,6131,9491,125,55,70,24,1088,639,449
25,1,0,81293,43259,38034,1350,746,604,220,120,100,78994,41985,37009,456,254,202,24,949,528,421
25,1,1,83753,44208,39545,2278,1424,854,322,184,138,80199,42112,38087,816,490,326,24,1276,672,604
25,1,2,84255,45030,39225,8938,6996,1942,1359,900,459,72322,36130,36192,6347,3771,2576,24,2995,1904,1091
25,1,3,98255,50248,48007,31473,24728,6745,2793,1826,967,60725,21762,38963,11883,6446,5437,24,6057,3758,2299
25,1,4,100415,50228,50187,50183,39994,10189,2220,1450,770,44339,6616,37723,6357,2414,3943,24,5893,3618,2275
25,1,5,90201,46386,43815,50090,40934,9156,1530,994,536,35281,2641,32640,2673,718,1955,24,4830,2811,2019
25,1,6,83569,42987,40582,47607,38683,8924,1177,774,403,31555,1787,29768,1683,325,1358,24,4407,2517,1890
25,1,7,127884,69139,58745,74691,62130,12561,1398,973,425,46747,3181,43566,1627,500,1127,24,6446,3828,2618
25,1,8,75432,41865,33567,39481,33526,5955,580,396,184,32386,6148,26238,657,307,350,24,3565,2191,1374
25,1,9,39504,20186,19318,9243,7546,1697,250,173,77,28636,11631,17005,364,193,171,24,1625,1009,616
25,1,10,16656,7933,8723,2263,1823,440,49,32,17,13898,5809,8089,97,45,52,24,495,301,194
25,1,11,7182,3233,3949,1145,883,262,30,21,9,5849,2243,3606,58,32,26,24,188,107,81
24,0,0,309054,164974,144080,5763,3103,2660,267,164,103,301454,160879,140575,1401,745,656,25,1837,992,845
24,0,1,336345,177424,158921,12334,6738,5596,765,441,324,319781,168548,151233,2677,1492,1185,25,4230,2138,2092
24,0,2,343011,183074,159937,68810,41706,27104,5289,3441,1848,259628,133583,126045,25607,16169,9438,25,14573,7785,6788
24,0,3,375152,194713,180439,195696,124376,71320,10340,7055,3285,155003,57950,97053,30061,17514,12547,25,24453,12387,12066
24,0,4,335023,175796,159227,233688,153860,79828,6990,4366,2624,81550,13169,68381,11469,4793,6676,25,19785,8767,11018
24,0,5,276117,143632,132485,209376,133184,76192,4374,2527,1847,51553,4583,46970,4180,1155,3025,25,15188,5865,9323
24,0,6,258449,130702,127747,201984,122263,79721,3785,2060,1725,41973,3366,38607,2786,632,2154,25,14492,5073,9419
24,0,7,423206,216788,206418,332842,203190,129652,4654,2503,2151,68080,6079,62001,2955,766,2189,25,22284,7519,14765
24,0,8,290939,147990,142949,216026,133154,82872,2237,1166,1071,59560,9732,49828,1290,448,842,25,15353,5104,10249
24,0,9,237775,110566,127209,137318,81030,56288,1300,641,659,87715,25039,62676,1162,391,771,25,12742,4497,8245
24,0,10,124857,63398,61459,48821,34009,14812,378,216,162,70803,26725,44078,481,182,299,25,5233,2664,2569
24,0,11,46361,22544,23817,10642,7286,3356,115,73,42,34474,14584,19890,175,93,82,25,1245,674,571
24,1,0,452676,240880,211796,4821,2685,2136,552,293,259,444297,236317,207980,2136,1120,1016,25,3558,1878,1680
24,1,1,451570,239705,211865,10392,6855,3537,972,551,421,436595,230334,206261,3763,2184,1579,25,4583,2516,2067
24,1,2,476353,255623,220730,63902,51012,12890,4669,3321,1348,400165,196332,203833,27428,16850,10578,25,12286,8279,4007
24,1,3,652867,342915,309952,245859,194541,51318,11067,7745,3322,380184,130758,249426,53992,28667,25325,25,26824,17616,9208
24,1,4,662995,345318,317677,376945,291599,85346,8439,5595,2844,261683,38868,222815,31265,11982,19283,25,24367,14851,9516
24,1,5,543741,291331,252410,340585,265673,74912,5194,3226,1968,185141,15333,169808,12917,3502,9415,25,18015,10325,7690
24,1,6,454921,240757,214164,290660,222105,68555,4009,2477,1532,149609,10509,139100,7788,1910,5878,25,14652,8143,6509
24,1,7,667731,349619,318112,413348,319466,93882,4665,3073,1592,234266,18996,215270,7441,2398,5043,25,20117,11157,8960
24,1,8,438727,228073,210654,230332,183574,46758,1944,1285,659,196977,37809,159168,3019,1378,1641,25,11418,6690,4728
24,1,9,277706,139467,138239,64968,50350,14618,869,555,314,206498,85529,120969,2298,1190,1108,25,6240,3588,2652
24,1,10,120532,59248,61284,16340,12671,3669,228,147,81,102070,45317,56753,622,323,299,25,2122,1260,862
24,1,11,49235,22885,26350,6727,5125,1602,120,74,46,41677,17275,24402,279,126,153,25,831,485,346
0,0,0,324846,175534,149312,4203,2308,1895,264,148,116,318540,172094,146446,1482,800,682,26,2103,1132,971
0,0,1,359231,191788,167443,12244,6382,5862,879,490,389,341467,182563,158904,2872,1611,1261,26,5520,2843,2677
0,0,2,345397,186250,159147,81854,44228,37626,6235,3830,2405,247902,133960,113942,22037,14027,8010,26,15641,8062,7579
0,0,3,345132,179614,165518,205975,114052,91923,9945,6323,3622,118425,55575,62850,25711,16131,9580,26,20732,9987,10745
0,0,4,296142,152470,143672,229343,133753,95590,6973,4059,2914,50501,11863,38638,8622,4282,4340,26,16298,6854,9444
0,0,5,257219,129195,128024,211688,120218,91470,4777,2450,2327,32468,4113,28355,3058,932,2126,26,13063,4864,8199
0,0,6,248204,123508,124696,208486,116540,91946,3927,1899,2028,27915,2868,25047,2112,461,1651,26,11803,4100,7703
0,0,7,409653,210108,199545,343687,198291,145396,5209,2559,2650,47634,5450,42184,2318,631,1687,26,18332,6367,11965
0,0,8,281550,141883,139667,222492,129642,92850,2791,1262,1529,46478,8092,38386,1475,438,1037,26,12580,4149,8431
0,0,9,252225,114928,137297,152654,85856,66798,1898,819,1079,87204,24821,62383,1499,524,975,26,12367,4251,8116
0,0,10,129714,65290,64424,50404,34368,16036,620,335,285,73925,28228,45697,620,253,367,26,5385,2694,2691
0,0,11,47748,22571,25177,10865,7029,3836,176,100,76,35536,14841,20695,213,110,103,26,1347,701,646
0,1,0,78619,42374,36245,644,378,266,81,50,31,77602,41781,35821,348,165,183,26,373,215,158
0,1,1,85571,45966,39605,1675,1124,551,188,102,86,83212,44449,38763,681,387,294,26,684,393,291
0,1,2,87802,46300,41502,10005,7852,2153,974,704,270,75355,36799,38556,5727,3447,2280,26,2442,1649,793
0,1,3,95042,48319,46723,30221,23802,6419,1962,1407,555,60233,21532,38701,9505,5082,4423,26,4588,2985,1603
0,1,4,84520,42925,41595,43544,34468,9076,1551,1020,531,36723,5908,30815,4559,1880,2679,26,4253,2549,1704
0,1,5,72466,36630,35836,42617,32781,9836,1124,704,420,26297,1965,24332,1817,487,1330,26,3552,1884,1668
0,1,6,67647,33696,33951,41078,30676,10402,965,592,373,23246,1330,21916,1238,257,981,26,3323,1690,1633
0,1,7,111056,56856,54200,67534,51842,15692,1192,741,451,38664,2474,36190,1313,328,985,26,4858,2540,2318
0,1,8,72698,38506,34192,40619,32163,8456,513,306,207,29307,4825,24482,490,182,308,26,2772,1518,1254
0,1,9,49430,23066,26364,15069,11022,4047,306,166,140,32684,11208,21476,419,154,265,26,1677,836,841
0,1,10,23292,10938,12354,4476,3456,1020,103,56,47,18226,7148,11078,129,52,77,26,590,334,256
0,1,11,8482,3830,4652,1168,900,268,25,16,9,7139,2840,4299,44,24,20,26,175,90,85
5,0,0,206260,112094,94166,6765,3674,3091,118,64,54,198511,107923,90588,651,361,290,27,984,497,487
5,0,1,212342,113823,98519,11396,5980,5416,505,277,228,197527,106190,91337,1542,874,668,27,3419,1653,1766
5,0,2,201532,114211,87321,54181,30086,24095,3642,2287,1355,137859,79286,58573,11568,7801,3767,27,9492,4839,4653
5,0,3,191568,104873,86695,120932,67574,53358,5741,3548,2193,58566,31682,26884,12643,8681,3962,27,12070,5617,6453
5,0,4,158333,82035,76298,125827,72051,53776,3917,2083,1834,23244,6440,16804,4020,2300,1720,27,9262,3544,5718
5,0,5,138797,69785,69012,116478,65282,51196,3077,1456,1621,14475,1887,12588,1367,553,814,27,7844,2616,5228
5,0,6,132934,65951,66983,113817,62626,51191,2549,1132,1417,12163,1184,10979,811,272,539,27,6954,2141,4813
5,0,7,213669,109037,104632,184291,103891,80400,3519,1529,1990,18941,2017,16924,939,334,605,27,10437,3129,7308
5,0,8,145046,72870,72176,120303,68000,52303,1903,816,1087,17422,2732,14690,478,156,322,27,7321,2138,5183
5,0,9,160903,72720,88183,108051,58595,49456,1875,772,1103,43536,11272,32264,538,170,368,27,9316,2853,6463
5,0,10,80326,40845,39481,35565,23874,11691,497,300,197,41075,15177,25898,265,118,147,27,3686,1794,1892
