District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females
6,17,0,10,14490,6610,7880,1740,1250,490,190,50,140,12560,5310,7250,70,60,10
6,17,1,0,344781,178690,166091,4910,3800,1110,488,208,280,339383,174682,164701,1600,910,690
6,17,1,1,133911,71101,62810,24400,20660,3740,1130,440,690,108381,50001,58380,1920,1240,680
6,17,1,2,135716,68471,67245,53330,45251,8079,1442,670,772,80944,22550,58394,2470,1660,810
6,17,1,3,122389,62189,60200,66003,56120,9883,1289,429,860,55097,5640,49457,1200,700,500
6,17,1,4,101851,55679,46172,63577,53835,9742,800,260,540,37474,1584,35890,434,94,340
6,17,1,5,89701,48146,41555,56459,47008,9451,918,138,780,32324,1000,31324,170,20,150
6,17,1,6,120517,66459,54058,77373,63929,13444,1354,230,1124,41790,2300,39490,240,40,200
6,17,1,7,71597,37248,34349,37935,31248,6687,630,80,550,33032,5920,27112,170,40,130
6,17,1,8,46525,23545,22980,12760,10470,2290,420,130,290,33345,12945,20400,110,70,40
6,17,1,9,17787,8867,8920,2517,2137,380,30,20,10,15240,6710,8530,50,30,20
6,17,1,10,7200,3460,3740,560,480,80,10,0,10,6630,2980,3650,60,40,20
7,8,0,0,521128,269266,251862,43770,23160,20610,13123,2850,10273,464235,243256,220979,6080,3400,2680
7,8,0,1,174870,93760,81110,81920,46010,35910,16350,1740,14610,76600,46010,30590,1470,970,500
7,8,0,2,164939,80679,84260,111769,64109,47660,19820,1110,18710,33350,15460,17890,740,570,170
7,8,0,3,157871,76791,81080,119910,73150,46760,19470,420,19050,18491,3221,15270,300,120,180
7,8,0,4,139417,68600,70817,109978,67260,42718,15910,250,15660,13529,1090,12439,190,30,160
7,8,0,5,123127,65927,57200,99367,64897,34470,12260,100,12160,11500,930,10570,190,50,140
7,8,0,6,187757,94450,93307,148437,92610,55827,20350,270,20080,18970,1570,17400,260,50,210
7,8,0,7,135463,68453,67010,97160,64320,32840,14339,559,13780,23964,3574,20390,224,24,200
7,8,0,8,88610,43680,44930,43510,31770,11740,6840,590,6250,38260,11320,26940,370,90,280
7,8,0,9,33050,15280,17770,8140,6380,1760,1250,240,1010,23660,8660,15000,340,140,200
7,8,0,10,10740,4910,5830,1680,1320,360,250,70,180,8810,3520,5290,80,20,60
