District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females
26,28,1,3,23738,12180,11558,11368,9770,1598,340,120,220,12030,2290,9740,810,490,320
26,28,1,4,20042,10760,9282,12100,10200,1900,230,40,190,7712,520,7192,230,100,130
26,28,1,5,18563,9642,8921,11336,9327,2009,248,85,163,6979,230,6749,150,40,110
26,28,1,6,26403,14572,11831,16713,14042,2671,300,90,210,9390,440,8950,140,60,80
26,28,1,7,18871,9941,8930,10741,8791,1950,330,40,290,7800,1110,6690,30,10,20
26,28,1,8,13404,6680,6724,4097,3190,907,210,120,90,9097,3370,5727,60,60,0
26,28,1,9,6290,3570,2720,1200,1060,140,0,0,0,5090,2510,2580,10,10,0
26,28,1,10,2200,1250,950,250,210,40,10,0,10,1940,1040,900,20,0,20
27,15,0,0,288457,146109,142348,13660,6580,7080,4480,1590,2890,270317,137939,132378,2380,1350,1030
27,15,0,1,123335,64040,59295,48265,25580,22685,7690,2220,5470,67380,36240,31140,1160,740,420
27,15,0,2,112889,61759,51130,74446,46216,28230,7270,1650,5620,31173,13893,17280,990,710,280
27,15,0,3,96425,48775,47650,74915,45165,29750,5400,710,4690,16110,2900,13210,390,220,170
27,15,0,4,83827,43360,40467,69917,42330,27587,4290,290,4000,9620,740,8880,220,100,120
27,15,0,5,78470,40800,37670,68020,39970,28050,3620,270,3350,6830,560,6270,150,70,80
27,15,0,6,123155,63580,59575,109001,62240,46761,5086,310,4776,9068,1030,8038,130,80,50
27,15,0,7,89722,47292,42430,75172,45012,30160,4000,390,3610,10550,1890,8660,130,30,100
27,15,0,8,65585,34465,31120,41641,27391,14250,3260,690,2570,20684,6384,14300,100,40,60
27,15,0,9,27810,14370,13440,10110,7210,2900,930,360,570,16770,6800,9970,50,20,30
27,15,0,10,11040,5890,5150,1960,1620,340,220,140,80,8860,4130,4730,90,20,70
27,15,1,0,452250,231549,220701,4000,2710,1290,540,340,200,447710,228499,219211,5700,3220,2480
27,15,1,1,213491,109620,103871,24749,20740,4009,1970,970,1000,186772,87910,98862,5300,3140,2160
27,15,1,2,220785,116026,104759,67026,57636,9390,3459,2090,1369,150300,56300,94000,7110,4490,2620
27,15,1,3,184793,94783,90010,90681,77722,12959,3044,1104,1940,91068,15957,75111,3310,1780,1530
27,15,1,4,152869,81781,71088,90244,76651,13593,2330,610,1720,60295,4520,55775,1330,490,840
27,15,1,5,133245,71880,61365,83335,68860,14475,1670,380,1290,48240,2640,45600,900,210,690
27,15,1,6,190937,106061,84876,121182,100349,20833,2643,530,2113,67112,5182,61930,1030,340,690
27,15,1,7,125216,66715,58501,67405,56279,11126,1510,480,1030,56301,9956,46345,550,160,390
27,15,1,8,81369,41339,40030,23469,19059,4410,940,340,600,56960,21940,35020,550,310,240
27,15,1,9,33719,16910,16809,5609,4790,819,290,150,140,27820,11970,15850,310,140,170
27,15,1,10,14760,6990,7770,1430,1270,160,100,70,30,13230,5650,7580,60,20,40
28,4,0,0,418423,211151,207272,13430,6120,7310,5160,1520,3640,399833,203511,196322,4750,2400,2350
28,4,0,1,176614,90360,86254,68160,31790,36370,12430,3050,9380,96024,55520,40504,1570,1090,480
28,4,0,2,155771,78131,77640,110851,55921,54930,13730,2510,11220,31190,19700,11490,1010,810,200
28,4,0,3,144444,70361,74083,121443,64810,56633,11020,1120,9900,11981,4431,7550,460,380,80
28,4,0,4,129495,63850,65645,114075,61880,52195,8410,670,7740,7010,1300,5710,200,110,90
28,4,0,5,117958,60138,57820,105658,59188,46470,6770,350,6420,5530,600,4930,110,30,80
28,4,0,6,190215,94986,95229,168700,92532,76168,11731,990,10741,9784,1464,8320,170,70,100
28,4,0,7,138199,71140,67059,114189,67500,46689,9970,970,9000,14040,2670,11370,170,50,120
28,4,0,8,91946,44896,47050,52340,34120,18220,6656,1426,5230,32950,9350,23600,350,110,240
28,4,0,9,35210,15770,19440,9560,6760,2800,1630,460,1170,24020,8550,15470,190,80,110
28,4,0,10,12200,5550,6650,1750,1320,430,410,170,240,10040,4060,5980,70,40,30
28,4,1,0,62863,32996,29867,360,250,110,80,20,60,62423,32726,29697,510,260,250
28,4,1,1,32117,15837,16280,3170,1990,1180,361,121,240,28586,13726,14860,850,550,300
28,4,1,2,29034,15114,13920,9194,6894,2300,630,250,380,19210,7970,11240,870,680,190
28,4,1,3,21397,10810,10587,10907,8350,2557,570,180,390,9920,2280,7640,350,280,70
28,4,1,4,19719,10347,9372,12232,9607,2625,471,40,431,7016,700,6316,170,80,90
28,4,1,5,17840,8810,9030,11470,8430,3040,280,20,260,6090,360,5730,100,50,50
28,4,1,6,28278,14820,13458,19381,14210,5171,530,50,480,8367,560,7807,190,90,100
28,4,1,7,18065,9996,8069,11520,8950,2570,326,26,300,6219,1020,5199,40,20,20
28,4,1,8,11479,5280,6199,4140,3090,1050,259,90,169,7080,2100,4980,60,10,50
28,4,1,9,4562,2042,2520,830,680,150,60,10,50,3672,1352,2320,30,10,20
28,4,1,10,1590,660,930,190,100,90,0,0,0,1400,560,840,30,20,10
29,7,0,0,299584,153460,146124,15380,7530,7850,5170,1330,3840,279034,144600,134434,1990,1190,800
29,7,0,1,117109,60595,56514,49510,24920,24590,9801,2181,7620,57798,33494,24304,940,670,270
29,7,0,2,109580,55690,53890,75990,42560,33430,10040,1780,8260,23550,11350,12200,700,500,200
29,7,0,3,104565,50759,53806,83259,47529,35730,8776,690,8086,12530,2540,9990,200,180,20
29,7,0,4,89118,45380,43738,75488,44240,31248,6500,270,6230,7130,870,6260,80,30,50
29,7,0,5,80225,41455,38770,69215,40795,28420,5910,140,5770,5100,520,4580,30,20,10
29,7,0,6,127394,64740,62654,110950,63370,47580,8900,250,8650,7544,1120,6424,60,40,20
29,7,0,7,94000,48520,45480,75660,45890,29770,6950,390,6560,11390,2240,9150,120,30,90
29,7,0,8,63395,31455,31940,37555,24905,12650,4210,600,3610,21630,5950,15680,100,30,70
29,7,0,9,25381,12520,12861,8281,6180,2101,990,250,740,16110,6090,10020,110,90,20
29,7,0,10,9770,4610,5160,1470,1210,260,260,50,210,8040,3350,4690,10,10,0
29,7,1,0,118656,60208,58448,960,570,390,220,100,120,117476,59538,57938,1770,920,850
29,7,1,1,51865,27524,24341,5281,4140,1141,680,290,390,45904,23094,22810,1160,830,330
29,7,1,2,52059,26553,25506,15133,12676,2457,954,444,510,35972,13433,22539,980,760,220
29,7,1,3,47240,24096,23144,23500,20390,3110,726,316,410,23014,3390,19624,430,240,190
29,7,1,4,38472,21224,17248,23391,20468,2923,545,120,425,14536,636,13900,180,60,120
29,7,1,5,34373,18915,15458,21285,18255,3030,570,180,390,12518,480,12038,100,30,70
29,7,1,6,47326,26877,20449,30971,25917,5054,530,100,430,15825,860,14965,160,30,130
29,7,1,7,24837,14097,10740,14557,12207,2350,470,70,400,9810,1820,7990,150,70,80
29,7,1,8,14359,6789,7570,4240,3390,850,240,130,110,9879,3269,6610,170,50,120
29,7,1,9,5960,3010,2950,1110,910,200,50,20,30,4800,2080,2720,70,40,30
29,7,1,10,2576,1260,1316,330,260,70,36,10,26,2210,990,1220,20,20,0
30,9,0,0,175504,88783,86721,12460,6440,6020,6260,1650,4610,156784,80693,76091,1970,980,990
30,9,0,1,63707,31232,32475,33560,16770,16790,8535,1530,7005,21612,12932,8680,575,385,190
30,9,0,2,60588,28070,32518,43492,23340,20152,9090,650,8440,8006,4080,3926,330,270,60
30,9,0,3,60241,28881,31360,47440,27670,19770,8791,321,8470,4010,890,3120,130,50,80
30,9,0,4,52996,27138,25858,43568,26468,17100,6640,190,6450,2788,480,2308,70,40,30
30,9,0,5,46560,25110,21450,38580,24580,14000,5740,200,5540,2240,330,1910,20,10,10
30,9,0,6,70229,36580,33649,58509,35770,22739,8430,250,8180,3290,560,2730,70,30,40
30,9,0,7,48550,25520,23030,36960,24130,12830,5770,370,5400,5820,1020,4800,20,10,10
30,9,0,8,30330,15230,15100,16130,11440,4690,3060,560,2500,11140,3230,7910,80,20,60
30,9,0,9,11420,5480,5940,3600,2690,910,720,240,480,7100,2550,4550,60,20,40
30,9,0,10,4530,2470,2060,810,680,130,170,70,100,3550,1720,1830,70,30,40
30,9,1,0,16354,8347,8007,250,140,110,30,10,20,16074,8197,7877,50,10,40
30,9,1,1,7537,3897,3640,1090,670,420,250,120,130,6197,3107,3090,120,60,60
30,9,1,2,7326,3923,3403,2973,2143,830,340,70,270,4013,1710,2303,120,70,50
30,9,1,3,6192,3282,2910,4062,2992,1070,200,20,180,1930,270,1660,70,30,40
30,9,1,4,5016,2749,2267,3328,2679,649,188,10,178,1500,60,1440,0,0,0
30,9,1,5,4614,2560,2054,3397,2550,847,130,0,130,1087,10,1077,10,10,0
30,9,1,6,6562,3540,3022,4732,3490,1242,150,0,150,1680,50,1630,0,0,0
30,9,1,7,3302,1680,1622,2042,1430,612,150,20,130,1110,230,880,0,0,0
30,9,1,8,2122,1072,1050,810,590,220,129,9,120,1183,473,710,0,0,0
30,9,1,9,920,410,510,250,190,60,20,10,10,650,210,440,10,0,10
30,9,1,10,400,180,220,60,40,20,10,0,10,330,140,190,0,0,0
