District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Marginal_Seeking_Persons,Marginal_Seeking_Males,Marginal_Seeking_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females
23,Mumbai,Urban,25-29,354373,209592,144781,205017,177206,27811,10382,7845,2537,6211,5203,1008,138974,24541,114433,33836,16139,17697
23,Mumbai,Urban,30-34,289243,169414,119829,178663,153947,24716,7437,5103,2334,4068,3345,723,103143,10364,92779,15661,6916,8745
23,Mumbai,Urban,35-39,262998,147727,115271,162275,136768,25507,6478,4048,2430,3149,2482,667,94245,6911,87334,10360,4066,6294
23,Mumbai,Urban,40-49,401767,228581,173186,250329,209952,40377,8549,5206,3343,3555,2831,724,142889,13423,129466,11061,5444,5617
23,Mumbai,Urban,50-59,252279,142868,109411,137350,116534,20816,4180,2609,1571,1136,897,239,110749,23725,87024,4553,2778,1775
23,Mumbai,Urban,60-69,154372,75582,78790,38993,32627,6366,1900,1105,795,298,203,95,113479,41850,71629,1879,1008,871
23,Mumbai,Urban,70-79,74947,35281,39666,10881,9087,1794,651,413,238,76,55,21,63415,25781,37634,592,294,298
23,Mumbai,Urban,80+,27817,12292,15525,2961,2519,442,161,97,64,26,21,5,24695,9676,15019,185,93,92
24,Raigarh,Rural,05-09,176660,90357,86303,470,282,188,963,470,493,45,25,20,175227,89605,85622,687,347,340
24,Raigarh,Rural,10-14,195099,101004,94095,3085,1697,1388,6822,2961,3861,961,514,447,185192,96346,88846,2272,1239,1033
24,Raigarh,Rural,15-19,164324,82847,81477,25485,15966,9519,26827,11733,15094,11061,6655,4406,112012,55148,56864,23351,14484,8867
24,Raigarh,Rural,20-24,146302,72580,73722,55572,38477,17095,33373,14900,18473,16092,10880,5212,57357,19203,38154,19308,11687,7621
24,Raigarh,Rural,25-29,139093,67385,71708,69974,49472,20502,30879,12383,18496,13410,8636,4774,38240,5530,32710,8995,3941,5054
24,Raigarh,Rural,30-34,124018,61613,62405,72037,49857,22180,26488,9789,16699,9647,6172,3475,25493,1967,23526,3517,1181,2336
24,Raigarh,Rural,35-39,116332,56673,59659,69790,46424,23366,25314,8996,16318,8482,5219,3263,21228,1253,19975,2306,620,1686
24,Raigarh,Rural,40-49,171717,87528,84189,105639,71533,34106,35806,13358,22448,9054,5783,3271,30272,2637,27635,2343,820,1523
24,Raigarh,Rural,50-59,115566,55794,59772,60809,41845,18964,22924,8504,14420,3097,1930,1167,31833,5445,26388,1093,435,658
24,Raigarh,Rural,60-69,96436,43446,52990,30551,21814,8737,15502,7043,8459,1137,688,449,50383,14589,35794,774,302,472
24,Raigarh,Rural,70-79,38483,18377,20106,6883,5610,1273,3627,2161,1466,181,118,63,27973,10606,17367,259,106,153
24,Raigarh,Rural,80+,12810,5763,7047,1372,1092,280,691,387,304,73,39,34,10747,4284,6463,54,25,29
24,Raigarh,Urban,05-09,53070,27510,25560,99,66,33,61,32,29,9,6,3,52910,27412,25498,230,118,112
24,Raigarh,Urban,10-14,56872,29803,27069,715,525,190,401,226,175,81,60,21,55756,29052,26704,637,346,291
24,Raigarh,Urban,15-19,51788,28092,23696,6730,5733,997,2062,1390,672,852,689,163,42996,20969,22027,5882,3632,2250
24,Raigarh,Urban,20-24,54084,29043,25041,19313,16818,2495,3396,2298,1098,1786,1429,357,31375,9927,21448,8432,4958,3474
24,Raigarh,Urban,25-29,55022,27977,27045,26799,23247,3552,3129,1921,1208,1538,1208,330,25094,2809,22285,4292,1781,2511
24,Raigarh,Urban,30-34,49279,26517,22762,27765,24086,3679,2629,1479,1150,1135,875,260,18885,952,17933,1780,602,1178
24,Raigarh,Urban,35-39,43597,23218,20379,25091,21323,3768,2438,1280,1158,940,712,228,16068,615,15453,1103,333,770
24,Raigarh,Urban,40-49,58851,33518,25333,35509,30377,5132,3266,1769,1497,1035,790,245,20076,1372,18704,1015,463,552
24,Raigarh,Urban,50-59,31147,17196,13951,15535,13410,2125,1575,917,658,319,246,73,14037,2869,11168,399,232,167
24,Raigarh,Urban,60-69,19074,9013,10061,3753,3181,572,741,433,308,99,63,36,14580,5399,9181,223,108,115
24,Raigarh,Urban,70-79,8242,3851,4391,1034,895,139,195,138,57,15,13,2,7013,2818,4195,74,37,37
24,Raigarh,Urban,80+,2804,1238,1566,286,255,31,54,30,24,7,5,2,2464,953,1511,15,8,7
25,Pune,Rural,05-09,315570,162315,153255,1740,990,750,1522,701,821,60,36,24,312308,160624,151684,1138,631,507
25,Pune,Rural,10-14,354331,184338,169993,11407,5776,5631,11680,5237,6443,992,535,457,331244,173325,157919,3218,1849,1369
25,Pune,Rural,15-19,288449,161018,127431,78468,48063,30405,31250,15457,15793,10418,7290,3128,178731,97498,81233,28639,20014,8625
25,Pune,Rural,20-24,260628,136712,123916,155877,96242,59635,32741,14319,18422,13323,9877,3446,72010,26151,45859,19205,12697,6508
25,Pune,Rural,25-29,241442,119558,121884,176196,106177,70019,25807,8232,17575,8437,5403,3034,39439,5149,34290,7005,2957,4048
25,Pune,Rural,30-34,222044,110763,111281,174796,103347,71449,21689,5592,16097,5522,3131,2391,25559,1824,23735,2411,797,1614
25,Pune,Rural,35-39,213635,105145,108490,171520,99171,72349,19919,4628,15291,4367,2360,2007,22196,1346,20850,1685,457,1228
25,Pune,Rural,40-49,317095,164702,152393,256547,155200,101347,27870,6651,21219,4471,2374,2097,32678,2851,29827,1722,480,1242
25,Pune,Rural,50-59,201546,101635,99911,147734,91009,56725,18688,4693,13995,1652,868,784,35124,5933,29191,932,326,606
25,Pune,Rural,60-69,192546,89462,103084,95773,60820,34953,18961,6299,12662,895,446,449,77812,22343,55469,1011,320,691
25,Pune,Rural,70-79,83693,43642,40051,23686,18391,5295,5814,3097,2717,162,99,63,54193,22154,32039,407,184,223
25,Pune,Rural,80+,28624,13650,14974,4190,3046,1144,1021,533,488,48,27,21,23413,10071,13342,66,28,38
25,Pune,Urban,05-09,386983,201716,185267,927,673,254,279,163,116,30,18,12,385777,200880,184897,1470,823,647
25,Pune,Urban,10-14,434468,226670,207798,6307,4205,2102,1490,890,600,379,272,107,426671,221575,205096,4246,2601,1645
25,Pune,Urban,15-19,415605,226590,189015,56316,47451,8865,9671,7383,2288,4385,3726,659,349618,171756,177862,40264,26205,14059
25,Pune,Urban,20-24,461247,247889,213358,162942,136702,26240,18224,13641,4583,10088,8610,1478,280081,97546,182535,59740,36196,23544
25,Pune,Urban,25-29,429536,222757,206779,227629,187985,39644,15790,10209,5581,7947,6342,1605,186117,24563,161554,30054,13241,16813
25,Pune,Urban,30-34,360171,191975,168196,218719,177627,41092,12163,6708,5455,5432,4068,1364,129289,7640,121649,12072,3938,8134
25,Pune,Urban,35-39,319433,164483,154950,196071,154156,41915,10927,5260,5667,4359,3031,1328,112435,5067,107368,7677,2214,5463
25,Pune,Urban,40-49,462344,249408,212936,288882,232226,56656,13039,6584,6455,4413,3156,1257,160423,10598,149825,7013,2694,4319
25,Pune,Urban,50-59,273726,147284,126442,142975,117980,24995,5942,3220,2722,1375,1007,368,124809,26084,98725,2526,1346,1180
25,Pune,Urban,60-69,173721,82879,90842,34689,27081,7608,3255,1770,1485,418,291,127,135777,54028,81749,1283,671,612
25,Pune,Urban,70-79,78101,37953,40148,8285,6740,1545,918,606,312,84,62,22,68898,30607,38291,346,167,179
25,Pune,Urban,80+,26764,12563,14201,2510,2059,451,210,138,72,38,28,10,24044,10366,13678,111,49,62
26,Ahmadnagar,Rural,05-09,352028,182582,169446,2965,1710,1255,1838,853,985,87,52,35,347225,180019,167206,1887,987,900
26,Ahmadnagar,Rural,10-14,409017,213790,195227,14917,7629,7288,13056,5728,7328,1213,612,601,381044,200433,180611,4070,2295,1775
26,Ahmadnagar,Rural,15-19,308925,173176,135749,86851,51786,35065,31161,14863,16298,8701,5851,2850,190913,106527,84386,23173,15930,7243
26,Ahmadnagar,Rural,20-24,267490,140779,126711,166936,97744,69192,31692,13054,18638,11742,8138,3604,68862,29981,38881,18123,12368,5755
26,Ahmadnagar,Rural,25-29,240416,116776,123640,180667,103729,76938,25915,7581,18334,8053,4636,3417,33834,5466,28368,6421,2880,3541
26,Ahmadnagar,Rural,30-34,228335,112115,116220,182892,104845,78047,22114,5346,16768,5396,2773,2623,23329,1924,21405,2445,706,1739
26,Ahmadnagar,Rural,35-39,218942,108160,110782,177529,102185,75344,20512,4528,15984,4513,2082,2431,20901,1447,19454,1745,395,1350
26,Ahmadnagar,Rural,40-49,323450,168069,155381,263275,158943,104332,28189,6196,21993,5023,2294,2729,31986,2930,29056,1691,393,1298
26,Ahmadnagar,Rural,50-59,203841,103526,100315,151916,93686,58230,18680,4182,14498,2077,862,1215,33245,5658,27587,1140,303,837
26,Ahmadnagar,Rural,60-69,214680,96587,118093,105805,65790,40015,20327,6133,14194,1412,532,880,88548,24664,63884,1770,423,1347
26,Ahmadnagar,Rural,70-79,91027,46996,44031,24183,18837,5346,5513,2836,2677,266,137,129,61331,25323,36008,710,234,476
26,Ahmadnagar,Rural,80+,31894,14565,17329,5177,3632,1545,1071,521,550,73,38,35,25646,10412,15234,136,51,85
26,Ahmadnagar,Urban,05-09,81871,42832,39039,541,381,160,177,103,74,34,21,13,81153,42348,38805,417,229,188
26,Ahmadnagar,Urban,10-14,96396,51156,45240,2053,1485,568,666,389,277,127,90,37,93677,49282,44395,960,602,358
26,Ahmadnagar,Urban,15-19,86325,48398,37927,13353,11450,1903,2882,2023,859,905,743,162,70090,34925,35165,5884,3965,1919
26,Ahmadnagar,Urban,20-24,80296,43974,36322,29287,24940,4347,4163,2685,1478,1711,1393,318,46846,16349,30497,7489,4770,2719
26,Ahmadnagar,Urban,25-29,67075,33131,33944,34121,27794,6327,3547,1743,1804,1319,949,370,29407,3594,25813,3375,1594,1781
26,Ahmadnagar,Urban,30-34,62032,31187,30845,35905,28751,7154,3339,1340,1999,1076,696,380,22788,1096,21692,1403,421,982
26,Ahmadnagar,Urban,35-39,60512,30702,29810,36675,28832,7843,3085,1123,1962,890,541,349,20752,747,20005,943,218,725
26,Ahmadnagar,Urban,40-49,85695,46786,38909,54251,43656,10595,3861,1557,2304,1015,662,353,27583,1573,26010,927,290,637
26,Ahmadnagar,Urban,50-59,46981,25123,21858,25863,21100,4763,1856,720,1136,309,195,114,19262,3303,15959,356,151,205
26,Ahmadnagar,Urban,60-69,39021,16921,22100,10170,7631,2539,1535,624,911,188,90,98,27316,8666,18650,369,159,210
26,Ahmadnagar,Urban,70-79,16773,8200,8573,2663,2221,442,411,245,166,34,23,11,13699,5734,7965,113,59,54
26,Ahmadnagar,Urban,80+,5564,2522,3042,755,619,136,94,45,49,12,8,4,4715,1858,2857,27,8,19
27,Bid,Rural,05-09,219743,114099,105644,893,488,405,1231,539,692,49,27,22,217619,113072,104547,662,345,317
27,Bid,Rural,10-14,243127,129508,113619,9615,4750,4865,9120,3939,5181,967,482,485,224392,120819,103573,1616,900,716
27,Bid,Rural,15-19,160006,94108,65898,44212,25390,18822,15340,7484,7856,4132,2787,1345,100454,61234,39220,7866,5458,2408
27,Bid,Rural,20-24,124110,65999,58111,75839,41557,34282,14474,5783,8691,4908,3333,1575,33797,18659,15138,7035,5438,1597
27,Bid,Rural,25-29,116717,56418,60299,88717,49135,39582,12293,3491,8802,3578,2024,1554,15707,3792,11915,2418,1517,901
27,Bid,Rural,30-34,118371,57323,61048,96799,53722,43077,11044,2542,8502,2740,1344,1396,10528,1059,9469,842,347,495
27,Bid,Rural,35-39,113258,56128,57130,94162,53425,40737,9934,2145,7789,2348,1061,1287,9162,558,8604,544,125,419
27,Bid,Rural,40-49,163985,86842,77143,138545,82905,55640,13342,2831,10511,2470,1093,1377,12098,1106,10992,458,145,313
27,Bid,Rural,50-59,103800,51683,52117,82243,47872,34371,9717,1930,7787,1299,497,802,11840,1881,9959,248,63,185
27,Bid,Rural,60-69,133401,58670,74731,78567,44637,33930,14683,3995,10688,1234,470,764,40151,10038,30113,353,97,256
