District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Marginal_Seeking_Persons,Marginal_Seeking_Males,Marginal_Seeking_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females,Location,Year
1,20,1,7,20939,11366,9573,12469,10787,1682,686,296,390,189,105,84,7784,283,7501,148,35,113,"Nandurbar, Maharashtra, India",2001
1,20,1,8,11160,6010,5150,6010,5248,762,350,148,202,82,43,39,4800,614,4186,76,29,47,"Nandurbar, Maharashtra, India",2001
1,20,1,9,9114,4008,5106,2533,2065,468,277,129,148,40,18,22,6304,1814,4490,58,20,38,"Nandurbar, Maharashtra, India",2001
1,20,1,10,4015,1855,2160,724,617,107,71,39,32,13,5,8,3220,1199,2021,21,9,12,"Nandurbar, Maharashtra, India",2001
1,20,1,11,1186,485,701,138,123,15,11,2,9,1,0,1,1037,360,677,2,0,2,"Nandurbar, Maharashtra, India",2001
2,8,0,0,147017,76025,70992,911,532,379,1115,517,598,115,62,53,144991,74976,70015,816,424,392,"Dhule, Maharashtra, India",2001
2,8,0,1,157151,82897,74254,7812,4268,3544,9290,4177,5113,1377,693,684,140049,74452,65597,1606,884,722,"Dhule, Maharashtra, India",2001
2,8,0,2,123918,69548,54370,31976,20165,11811,19537,8928,10609,6316,3977,2339,72405,40455,31950,9159,6330,2829,"Dhule, Maharashtra, India",2001
2,8,0,3,106072,57651,48421,55576,36315,19261,21789,8540,13249,8289,5330,2959,28707,12796,15911,7026,5071,1955,"Dhule, Maharashtra, India",2001
2,8,0,4,90517,44827,45690,58108,37432,20676,17949,5081,12868,5901,3126,2775,14460,2314,12146,2572,1219,1353,"Dhule, Maharashtra, India",2001
2,8,0,5,85612,41541,44071,59285,37164,22121,15923,3691,12232,4643,2155,2488,10404,686,9718,1116,348,768,"Dhule, Maharashtra, India",2001
2,8,0,6,87809,43097,44712,62180,39335,22845,15797,3274,12523,4292,1799,2493,9832,488,9344,795,176,619,"Dhule, Maharashtra, India",2001
2,8,0,7,127872,67309,60563,91798,61766,30032,21382,4706,16676,5124,2102,3022,14692,837,13855,875,166,709,"Dhule, Maharashtra, India",2001
2,8,0,8,74929,38088,36841,48765,33295,15470,12685,2992,9693,2053,867,1186,13479,1801,11678,528,139,389,"Dhule, Maharashtra, India",2001
2,8,0,9,82212,34686,47526,33294,22332,10962,12737,3796,8941,1417,546,871,36181,8558,27623,783,170,613,"Dhule, Maharashtra, India",2001
2,8,0,10,34142,15867,18275,7366,5851,1515,2728,1354,1374,220,117,103,24048,8662,15386,319,92,227,"Dhule, Maharashtra, India",2001
2,8,0,11,8756,3702,5054,1002,756,246,412,205,207,42,20,22,7342,2741,4601,33,18,15,"Dhule, Maharashtra, India",2001
2,8,1,0,48874,25684,23190,126,104,22,37,19,18,7,5,2,48711,25561,23150,207,107,100,"Dhule, Maharashtra, India",2001
2,8,1,1,55536,29452,26084,837,702,135,336,204,132,108,76,32,54363,28546,25817,657,444,213,"Dhule, Maharashtra, India",2001
2,8,1,2,50278,27335,22943,5924,5370,554,1548,1065,483,622,507,115,42806,20900,21906,4520,3115,1405,"Dhule, Maharashtra, India",2001
2,8,1,3,44321,24241,20080,13280,12174,1106,2117,1444,673,986,811,175,28924,10623,18301,5608,3785,1823,"Dhule, Maharashtra, India",2001
2,8,1,4,35583,17292,18291,15735,13975,1760,1849,969,880,784,543,241,17999,2348,15651,2329,1146,1183,"Dhule, Maharashtra, India",2001
2,8,1,5,32433,16414,16019,17305,15118,2187,1648,678,970,603,385,218,13480,618,12862,991,296,695,"Dhule, Maharashtra, India",2001
2,8,1,6,31032,15526,15506,16990,14604,2386,1587,575,1012,549,301,248,12455,347,12108,600,114,486,"Dhule, Maharashtra, India",2001
2,8,1,7,44571,24016,20555,25981,22518,3463,1905,785,1120,607,340,267,16685,713,15972,524,120,404,"Dhule, Maharashtra, India",2001
2,8,1,8,25410,13677,11733,12819,11300,1519,863,400,463,223,134,89,11728,1977,9751,274,113,161,"Dhule, Maharashtra, India",2001
2,8,1,9,21339,9153,12186,4544,3680,864,838,348,490,159,69,90,15957,5125,10832,149,72,77,"Dhule, Maharashtra, India",2001
2,8,1,10,9468,4432,5036,1250,1072,178,233,124,109,36,25,11,7985,3236,4749,45,21,24,"Dhule, Maharashtra, India",2001
2,8,1,11,2839,1207,1632,225,184,41,37,26,11,5,4,1,2577,997,1580,14,8,6,"Dhule, Maharashtra, India",2001
3,12,0,0,293263,153938,139325,1533,860,673,915,410,505,104,50,54,290815,152668,138147,1277,669,608,"Jalgaon, Maharashtra, India",2001
3,12,0,1,326744,173850,152894,14141,7593,6548,9355,4068,5287,1646,867,779,303248,162189,141059,3077,1799,1278,"Jalgaon, Maharashtra, India",2001
3,12,0,2,269722,151842,117880,73053,44961,28092,29767,13981,15786,10286,6478,3808,166902,92900,74002,20913,15073,5840,"Jalgaon, Maharashtra, India",2001
3,12,0,3,227246,124181,103065,126986,80476,46510,34391,14185,20206,13489,8647,4842,65869,29520,36349,15267,11412,3855,"Jalgaon, Maharashtra, India",2001
3,12,0,4,191845,95096,96749,132062,80583,51479,28169,8746,19423,9798,5184,4614,31614,5767,25847,5390,3044,2346,"Jalgaon, Maharashtra, India",2001
3,12,0,5,179633,87509,92124,133550,79419,54131,24675,6477,18198,7711,3577,4134,21408,1613,19795,2118,714,1404,"Jalgaon, Maharashtra, India",2001
3,12,0,6,181072,89516,91556,137189,82427,54762,24053,5980,18073,6953,3025,3928,19830,1109,18721,1469,322,1147,"Jalgaon, Maharashtra, India",2001
3,12,0,7,265170,141947,123223,202211,130834,71377,32349,8827,23522,7984,3656,4328,30610,2286,28324,1746,366,1380,"Jalgaon, Maharashtra, India",2001
3,12,0,8,154111,78212,75899,104699,68259,36440,18986,5181,13805,3487,1448,2039,30426,4772,25654,1090,313,777,"Jalgaon, Maharashtra, India",2001
3,12,0,9,178479,74772,103707,75971,46854,29117,20365,6540,13825,2455,975,1480,82143,21378,60765,1942,454,1488,"Jalgaon, Maharashtra, India",2001
3,12,0,10,73693,34710,38983,16819,12816,4003,4912,2498,2414,472,266,206,51962,19396,32566,711,208,503,"Jalgaon, Maharashtra, India",2001
3,12,0,11,20352,8884,11468,2675,1922,753,681,353,328,89,48,41,16996,6609,10387,82,28,54,"Jalgaon, Maharashtra, India",2001
3,12,1,0,108937,57302,51635,259,187,72,92,51,41,18,11,7,108586,57064,51522,603,344,259,"Jalgaon, Maharashtra, India",2001
3,12,1,1,126580,66709,59871,1536,1225,311,691,457,234,169,127,42,124353,65027,59326,1458,911,547,"Jalgaon, Maharashtra, India",2001
3,12,1,2,113835,61625,52210,12338,10883,1455,3708,2660,1048,1396,1187,209,97789,48082,49707,8939,6415,2524,"Jalgaon, Maharashtra, India",2001
3,12,1,3,101337,54081,47256,28866,25993,2873,5483,3947,1536,2448,2090,358,66988,24141,42847,11255,7816,3439,"Jalgaon, Maharashtra, India",2001
3,12,1,4,87054,43069,43985,37687,33282,4405,4955,3069,1886,2023,1631,392,44412,6718,37694,5638,3224,2414,"Jalgaon, Maharashtra, India",2001
3,12,1,5,79352,40140,39212,41402,35926,5476,4511,2362,2149,1579,1117,462,33439,1852,31587,2346,898,1448,"Jalgaon, Maharashtra, India",2001
3,12,1,6,76575,38150,38425,41331,35069,6262,4465,2108,2357,1424,953,471,30779,973,29806,1510,361,1149,"Jalgaon, Maharashtra, India",2001
3,12,1,7,112084,61379,50705,65697,57079,8618,5719,2679,3040,1687,1068,619,40668,1621,39047,1409,368,1041,"Jalgaon, Maharashtra, India",2001
3,12,1,8,64383,34555,29828,33111,28952,4159,2712,1401,1311,658,417,241,28560,4202,24358,591,241,350,"Jalgaon, Maharashtra, India",2001
3,12,1,9,54007,24389,29618,12236,9897,2339,2073,1001,1072,375,195,180,39698,13491,26207,611,214,397,"Jalgaon, Maharashtra, India",2001
3,12,1,10,23863,11433,12430,3351,2912,439,599,374,225,101,67,34,19913,8147,11766,169,71,98,"Jalgaon, Maharashtra, India",2001
3,12,1,11,7577,3418,4159,672,586,86,96,71,25,13,8,5,6809,2761,4048,30,14,16,"Jalgaon, Maharashtra, India",2001
4,6,0,0,199130,102913,96217,774,408,366,729,325,404,39,15,24,197627,102180,95447,525,267,258,"Buldana, Maharashtra, India",2001
4,6,0,1,229449,119295,110154,11362,5006,6356,8252,3461,4791,902,406,496,209835,110828,99007,1545,840,705,"Buldana, Maharashtra, India",2001
4,6,0,2,179170,98524,80646,65053,35993,29060,16250,7342,8908,4188,2654,1534,97867,55189,42678,6759,4702,2057,"Buldana, Maharashtra, India",2001
4,6,0,3,143654,77769,65885,97737,57397,40340,13155,5767,7388,4857,3522,1335,32762,14605,18157,5620,4305,1315,"Buldana, Maharashtra, India",2001
4,6,0,4,124315,61139,63176,98010,55179,42831,9707,3010,6697,3060,1811,1249,16598,2950,13648,2137,1327,810,"Buldana, Maharashtra, India",2001
4,6,0,5,118117,57839,60278,99080,54967,44113,7912,1921,5991,2154,1072,1082,11125,951,10174,763,296,467,"Buldana, Maharashtra, India",2001
4,6,0,6,116478,57801,58677,99757,55367,44390,7208,1700,5508,1897,915,982,9513,734,8779,466,127,339,"Buldana, Maharashtra, India",2001
4,6,0,7,171125,90466,80659,146583,86439,60144,10225,2498,7727,2055,943,1112,14317,1529,12788,562,164,398,"Buldana, Maharashtra, India",2001
4,6,0,8,105313,53397,51916,82260,48714,33546,7354,1819,5535,991,414,577,15699,2864,12835,320,89,231,"Buldana, Maharashtra, India",2001
4,6,0,9,118235,52223,66012,62888,36915,25973,9430,3070,6360,831,341,490,45917,12238,33679,493,123,370,"Buldana, Maharashtra, India",2001
4,6,0,10,50504,25401,25103,14124,10659,3465,2797,1508,1289,225,123,102,33583,13234,20349,175,70,105,"Buldana, Maharashtra, India",2001
4,6,0,11,14079,6395,7684,1843,1354,489,374,200,174,30,15,15,11862,4841,7021,27,6,21,"Buldana, Maharashtra, India",2001
4,6,1,0,51939,27212,24727,77,59,18,21,13,8,1,1,0,51841,27140,24701,138,82,56,"Buldana, Maharashtra, India",2001
4,6,1,1,60636,31838,28798,738,589,149,335,223,112,73,59,14,59563,31026,28537,578,400,178,"Buldana, Maharashtra, India",2001
4,6,1,2,51317,27825,23492,6650,5666,984,1696,1189,507,695,554,141,42971,20970,22001,3271,2246,1025,"Buldana, Maharashtra, India",2001
4,6,1,3,42596,22451,20145,13599,11893,1706,2090,1371,719,902,738,164,26907,9187,17720,4277,3008,1269,"Buldana, Maharashtra, India",2001
4,6,1,4,37587,18479,19108,17305,14855,2450,1857,971,886,706,526,180,18425,2653,15772,2134,1308,826,"Buldana, Maharashtra, India",2001
4,6,1,5,34429,17464,16965,19075,16039,3036,1664,710,954,558,378,180,13690,715,12975,791,356,435,"Buldana, Maharashtra, India",2001
4,6,1,6,32803,16152,16651,18682,15236,3446,1634,544,1090,516,288,228,12487,372,12115,472,154,318,"Buldana, Maharashtra, India",2001
4,6,1,7,47987,26009,21978,29138,24483,4655,2108,798,1310,520,322,198,16741,728,16013,444,115,329,"Buldana, Maharashtra, India",2001
4,6,1,8,28388,15017,13371,14990,12705,2285,1128,452,676,182,91,91,12270,1860,10410,185,59,126,"Buldana, Maharashtra, India",2001
4,6,1,9,24190,10838,13352,6566,5117,1449,981,452,529,146,67,79,16643,5269,11374,117,49,68,"Buldana, Maharashtra, India",2001
4,6,1,10,10678,5086,5592,1788,1564,224,242,149,93,19,10,9,8648,3373,5275,44,23,21,"Buldana, Maharashtra, India",2001
4,6,1,11,3409,1418,1991,252,219,33,30,22,8,1,1,0,3127,1177,1950,8,5,3,"Buldana, Maharashtra, India",2001
5,1,0,0,105954,54679,51275,280,174,106,205,89,116,7,6,1,105469,54416,51053,309,170,139,"Akola, Maharashtra, India",2001
5,1,0,1,126167,65518,60649,3399,1785,1614,2691,1279,1412,280,167,113,120077,62454,57623,907,545,362,"Akola, Maharashtra, India",2001
5,1,0,2,103607,55637,47970,27013,17250,9763,7756,3973,3783,2365,1582,783,68838,34414,34424,5075,3186,1889,"Akola, Maharashtra, India",2001
5,1,0,3,84052,47059,36993,47342,31785,15557,7829,3914,3915,3176,2364,812,28881,11360,17521,4856,3316,1540,"Akola, Maharashtra, India",2001
5,1,0,4,76422,38294,38128,52828,33405,19423,6456,2266,4190,2152,1340,812,17138,2623,14515,2101,1110,991,"Akola, Maharashtra, India",2001
5,1,0,5,69967,34841,35126,53759,32864,20895,5215,1339,3876,1388,731,657,10993,638,10355,733,244,489,"Akola, Maharashtra, India",2001
5,1,0,6,69481,34660,34821,54831,33094,21737,4796,1160,3636,1208,571,637,9854,406,9448,429,98,331,"Akola, Maharashtra, India",2001
5,1,0,7,99469,53869,45600,79609,51548,28061,6301,1495,4806,1232,620,612,13559,826,12733,386,86,300,"Akola, Maharashtra, India",2001
5,1,0,8,58600,29903,28697,43143,27506,15637,4060,980,3080,610,273,337,11397,1417,9980,202,36,166,"Akola, Maharashtra, India",2001
5,1,0,9,67513,30182,37331,36538,22525,14013,4912,1531,3381,409,181,228,26063,6126,19937,249,66,183,"Akola, Maharashtra, India",2001
5,1,0,10,27856,14632,13224,9175,7194,1981,1369,744,625,89,56,33,17312,6694,10618,99,38,61,"Akola, Maharashtra, India",2001
5,1,0,11,7596,3566,4030,1289,984,305,190,114,76,12,9,3,6117,2468,3649,24,14,10,"Akola, Maharashtra, India",2001
5,1,1,0,64923,33595,31328,121,97,24,32,19,13,5,5,0,64770,33479,31291,222,112,110,"Akola, Maharashtra, India",2001
5,1,1,1,77349,40328,37021,1297,1089,208,409,298,111,105,81,24,75643,38941,36702,928,661,267,"Akola, Maharashtra, India",2001
5,1,1,2,67158,35429,31729,8911,8051,860,1700,1350,350,760,653,107,56547,26028,30519,4496,3066,1430,"Akola, Maharashtra, India",2001
5,1,1,3,59283,31541,27742,17904,16178,1726,2335,1820,515,1255,1105,150,39044,13543,25501,6147,4087,2060,"Akola, Maharashtra, India",2001
5,1,1,4,51942,25591,26351,22983,20067,2916,1993,1316,677,946,759,187,26966,4208,22758,3261,1904,1357,"Akola, Maharashtra, India",2001
5,1,1,5,46963,23843,23120,25707,21854,3853,1755,942,813,775,570,205,19501,1047,18454,1241,508,733,"Akola, Maharashtra, India",2001
5,1,1,6,44753,22400,22353,25515,21102,4413,1623,738,885,644,413,231,17615,560,17055,746,212,534,"Akola, Maharashtra, India",2001
5,1,1,7,65404,35600,29804,39454,33493,5961,2043,991,1052,749,491,258,23907,1116,22791,623,195,428,"Akola, Maharashtra, India",2001
5,1,1,8,38456,20333,18123,19996,16994,3002,1080,551,529,301,196,105,17380,2788,14592,248,108,140,"Akola, Maharashtra, India",2001
5,1,1,9,31482,14516,16966,8144,6595,1549,876,427,449,185,104,81,22462,7494,14968,163,65,98,"Akola, Maharashtra, India",2001
5,1,1,10,13867,6776,7091,2250,1964,286,264,176,88,43,27,16,11353,4636,6717,51,31,20,"Akola, Maharashtra, India",2001
5,1,1,11,4728,2070,2658,395,337,58,43,29,14,4,3,1,4290,1704,2586,14,6,8,"Akola, Maharashtra, India",2001
6,33,0,0,96389,49881,46508,333,187,146,268,128,140,24,8,16,95788,49566,46222,312,175,137,"Washim, Maharashtra, India",2001
6,33,0,1,109712,57850,51862,4395,1931,2464,3009,1220,1789,511,246,265,102308,54699,47609,954,573,381,"Washim, Maharashtra, India",2001
6,33,0,2,82142,45570,36572,24633,13824,10809,8012,3433,4579,2432,1399,1033,49497,28313,21184,4292,3055,1237,"Washim, Maharashtra, India",2001
6,33,0,3,68249,36698,31551,41504,24698,16806,8376,3375,5001,3056,1940,1116,18369,8625,9744,3293,2518,775,"Washim, Maharashtra, India",2001
6,33,0,4,63262,31205,32057,46450,27061,19389,7036,2101,4935,2385,1222,1163,9776,2043,7733,1457,920,537,"Washim, Maharashtra, India",2001
6,33,0,5,58865,29211,29654,46943,27218,19725,5974,1471,4503,1908,856,1052,5948,522,5426,513,212,301,"Washim, Maharashtra, India",2001
6,33,0,6,55575,28142,27433,45532,26596,18936,5259,1239,4020,1620,684,936,4784,307,4477,276,69,207,"Washim, Maharashtra, India",2001
6,33,0,7,78541,41793,36748,64379,39543,24836,6833,1602,5231,1625,663,962,7329,648,6681,271,65,206,"Washim, Maharashtra, India",2001
6,33,0,8,48501,24201,24300,36152,21982,14170,4506,994,3512,791,294,497,7843,1225,6618,152,20,132,"Washim, Maharashtra, India",2001
6,33,0,9,55561,24551,31010,28806,17687,11119,5193,1558,3635,658,262,396,21562,5306,16256,228,70,158,"Washim, Maharashtra, India",2001
6,33,0,10,23373,11827,11546,6876,5337,1539,1417,745,672,155,84,71,15080,5745,9335,109,41,68,"Washim, Maharashtra, India",2001
6,33,0,11,7116,3292,3824,1108,821,287,222,127,95,14,7,7,5786,2344,3442,16,9,7,"Washim, Maharashtra, India",2001
6,33,1,0,20196,10534,9662,56,45,11,8,4,4,0,0,0,20132,10485,9647,66,35,31,"Washim, Maharashtra, India",2001
6,33,1,1,23622,12553,11069,416,335,81,97,67,30,29,26,3,23109,12151,10958,327,244,83,"Washim, Maharashtra, India",2001
6,33,1,2,19119,10258,8861,2698,2303,395,389,269,120,157,135,22,16032,7686,8346,1332,975,357,"Washim, Maharashtra, India",2001
6,33,1,3,15933,8570,7363,5093,4424,669,494,306,188,222,174,48,10346,3840,6506,1676,1244,432,"Washim, Maharashtra, India",2001
6,33,1,4,14010,6886,7124,6348,5437,911,514,269,245,218,150,68,7148,1180,5968,903,610,293,"Washim, Maharashtra, India",2001
6,33,1,5,13004,6560,6444,7147,6068,1079,434,176,258,160,107,53,5423,316,5107,326,175,151,"Washim, Maharashtra, India",2001
6,33,1,6,12355,6279,6076,7156,5956,1200,456,183,273,146,103,43,4743,140,4603,150,54,96,"Washim, Maharashtra, India",2001
6,33,1,7,17155,9399,7756,10561,8958,1603,536,222,314,171,112,59,6058,219,5839,137,55,82,"Washim, Maharashtra, India",2001
6,33,1,8,9929,5218,4711,5427,4570,857,281,125,156,74,42,32,4221,523,3698,41,17,24,"Washim, Maharashtra, India",2001
6,33,1,9,9055,4019,5036,2656,2141,515,267,117,150,60,31,29,6132,1761,4371,46,20,26,"Washim, Maharashtra, India",2001
6,33,1,10,4105,1959,2146,759,657,102,65,37,28,11,7,4,3281,1265,2016,16,6,10,"Washim, Maharashtra, India",2001
6,33,1,11,1367,579,788,108,98,10,15,10,5,3,2,1,1244,471,773,4,2,2,"Washim, Maharashtra, India",2001
7,2,0,0,177251,91030,86221,1192,652,540,1276,641,635,76,43,33,174783,89737,85046,956,507,449,"Amravati, Maharashtra, India",2001
7,2,0,1,206612,106309,100303,6077,3495,2582,10634,5111,5523,1441,693,748,189901,97703,92198,2257,1235,1022,"Amravati, Maharashtra, India",2001
7,2,0,2,169434,87614,81820,38152,25002,13150,22936,11524,11412,8323,4860,3463,108346,51088,57258,14090,7962,6128,"Amravati, Maharashtra, India",2001
7,2,0,3,145824,79493,66331,69885,50123,19762,23421,11438,11983,10853,6990,3863,52518,17932,34586,12568,7059,5509,"Amravati, Maharashtra, India",2001
7,2,0,4,133701,67829,65872,82627,55452,27175,19789,7229,12560,8384,4528,3856,31285,5148,26137,6159,2699,3460,"Amravati, Maharashtra, India",2001
7,2,0,5,122449,61819,60630,87803,55739,32064,16457,4614,11843,6186,2842,3344,18189,1466,16723,2322,647,1675,"Amravati, Maharashtra, India",2001
7,2,0,6,117008,59089,57919,88077,54575,33502,14538,3657,10881,4927,2090,2837,14393,857,13536,1388,263,1125,"Amravati, Maharashtra, India",2001
7,2,0,7,168800,91874,76926,129112,85399,43713,19136,5008,14128,5333,2407,2926,20552,1467,19085,1228,244,984,"Amravati, Maharashtra, India",2001
7,2,0,8,104529,54084,50445,72930,48281,24649,12453,3185,9268,2463,978,1485,19146,2618,16528,714,148,566,"Amravati, Maharashtra, India",2001
7,2,0,9,116416,53446,62970,59345,38606,20739,13931,4575,9356,1787,794,993,43140,10265,32875,1243,303,940,"Amravati, Maharashtra, India",2001
7,2,0,10,52666,28865,23801,16606,13632,2974,4263,2501,1762,387,236,151,31797,12732,19065,482,167,315,"Amravati, Maharashtra, India",2001
7,2,0,11,15568,7784,7784,2779,2123,656,723,422,301,78,47,31,12066,5239,6827,84,40,44,"Amravati, Maharashtra, India",2001
7,2,1,0,85669,44351,41318,240,173,67,94,53,41,9,8,1,85335,44125,41210,310,169,141,"Amravati, Maharashtra, India",2001
7,2,1,1,106218,54942,51276,1296,1080,216,642,425,217,123,105,18,104280,53437,50843,1134,748,386,"Amravati, Maharashtra, India",2001
7,2,1,2,96689,50153,46536,10789,9551,1238,3091,2293,798,1224,1023,201,82809,38309,44500,7256,4673,2583,"Amravati, Maharashtra, India",2001
7,2,1,3,88897,46991,41906,23819,21370,2449,4180,3106,1074,2051,1766,285,60898,22515,38383,11636,7238,4398,"Amravati, Maharashtra, India",2001
7,2,1,4,77239,38576,38663,32829,28554,4275,3950,2577,1373,1832,1514,318,40460,7445,33015,6524,3590,2934,"Amravati, Maharashtra, India",2001
7,2,1,5,69187,35375,33812,37590,31608,5982,3513,1895,1618,1522,1114,408,28084,1872,26212,2363,974,1389,"Amravati, Maharashtra, India",2001
7,2,1,6,65043,32908,32135,37459,30711,6748,3204,1346,1858,1221,746,475,24380,851,23529,1262,318,944,"Amravati, Maharashtra, India",2001
7,2,1,7,95719,52050,43669,58267,48922,9345,4034,1768,2266,1292,782,510,33418,1360,32058,1012,238,774,"Amravati, Maharashtra, India",2001
7,2,1,8,58598,31528,27070,31510,26749,4761,2126,992,1134,495,326,169,24962,3787,21175,442,161,281,"Amravati, Maharashtra, India",2001
7,2,1,9,46811,22363,24448,13038,10567,2471,1820,926,894,298,182,116,31953,10870,21083,278,139,139,"Amravati, Maharashtra, India",2001
7,2,1,10,22024,11198,10826,3996,3517,479,602,393,209,84,54,30,17426,7288,10138,101,62,39,"Amravati, Maharashtra, India",2001
7,2,1,11,7247,3365,3882,754,665,89,99,69,30,18,13,5,6394,2631,3763,36,16,20,"Amravati, Maharashtra, India",2001
8,32,0,0,86607,44566,42041,274,160,114,180,96,84,13,9,4,86153,44310,41843,328,170,158,"Wardha, Maharashtra, India",2001
8,32,0,1,100795,51394,49401,1846,1089,757,2460,1198,1262,341,191,150,96489,49107,47382,914,500,414,"Wardha, Maharashtra, India",2001
8,32,0,2,92263,47829,44434,15992,10728,5264,12500,6573,5927,4740,3115,1625,63771,30528,33243,9520,5595,3925,"Wardha, Maharashtra, India",2001
8,32,0,3,80684,44064,36620,33597,23837,9760,15043,7782,7261,7085,5115,1970,32044,12445,19599,8870,5511,3359,"Wardha, Maharashtra, India",2001
8,32,0,4,75011,38075,36936,43946,29415,14531,13763,5129,8634,5703,3343,2360,17302,3531,13771,4003,2104,1899,"Wardha, Maharashtra, India",2001
8,32,0,5,67943,35168,32775,47698,30934,16764,11384,3304,8080,4132,2018,2114,8861,930,7931,1279,464,815,"Wardha, Maharashtra, India",2001
8,32,0,6,64206,32342,31864,47254,29213,18041,10483,2662,7821,3391,1523,1868,6469,467,6002,612,170,442,"Wardha, Maharashtra, India",2001
8,32,0,7,95254,51730,43524,72061,47312,24749,13908,3590,10318,3749,1663,2086,9285,828,8457,648,158,490,"Wardha, Maharashtra, India",2001
8,32,0,8,59290,30726,28564,41533,27132,14401,9008,2167,6841,1754,711,1043,8749,1427,7322,367,115,252,"Wardha, Maharashtra, India",2001
8,32,0,9,65859,29912,35947,32455,20537,11918,10473,3129,7344,1237,487,750,22931,6246,16685,444,138,306,"Wardha, Maharashtra, India",2001
8,32,0,10,30867,17057,13810,9043,7357,1686,3222,1856,1366,282,183,99,18602,7844,10758,228,99,129,"Wardha, Maharashtra, India",2001
8,32,0,11,8545,4333,4212,1129,915,214,402,245,157,39,23,16,7014,3173,3841,37,17,20,"Wardha, Maharashtra, India",2001
8,32,1,0,27785,14481,13304,34,25,9,19,14,5,2,1,1,27732,14442,13290,98,44,54,"Wardha, Maharashtra, India",2001
8,32,1,1,34757,17863,16894,182,160,22,179,114,65,56,37,19,34396,17589,16807,340,210,130,"Wardha, Maharashtra, India",2001
